,,,Date,2021/07/26 04:47:41 PM
Product, Contract Month (week), Open Interest(A), Average Volume(B), Liquidity Indicator(A/B)
BRF    ,202109  ,214,94,2.28
BRF    ,202110  ,140,135,1.04
BRF    ,202111  ,2,2,1.00
BRF    ,202112  ,6,1,6.00
BRF    ,202206  ,0,0,NA
BTF    ,202108  ,82,29,2.83
BTF    ,202109  ,2,0,9999.99
BTF    ,202110  ,0,0,NA
BTF    ,202112  ,0,0,NA
BTF    ,202203  ,0,0,NA
BTF    ,202206  ,0,0,NA
CAF    ,202108  ,5134,457,11.23
CAF    ,202109  ,1124,253,4.44
CAF    ,202112  ,0,0,NA
CAF    ,202203  ,0,0,NA
CAF    ,202206  ,0,0,NA
CBF    ,202108  ,38348,13824,2.77
CBF    ,202109  ,1868,429,4.35
CBF    ,202112  ,276,64,4.31
CBF    ,202203  ,160,298,0.54
CBF    ,202206  ,2,50,0.04
CCF    ,202108  ,66730,34594,1.93
CCF    ,202109  ,3516,1107,3.18
CCF    ,202112  ,694,29,23.93
CCF    ,202203  ,320,0,9999.99
CCF    ,202206  ,0,0,NA
CDF    ,202108  ,35246,9151,3.85
CDF    ,202109  ,7946,1375,5.78
CDF    ,202112  ,7496,626,11.97
CDF    ,202203  ,2166,332,6.52
CDF    ,202206  ,60,107,0.56
CEF    ,202108  ,7836,4044,1.94
CEF    ,202109  ,3326,836,3.98
CEF    ,202112  ,30,0,9999.99
CEF    ,202203  ,24,0,9999.99
CEF    ,202206  ,0,0,NA
CFF    ,202108  ,4496,258,17.43
CFF    ,202109  ,336,68,4.94
CFF    ,202112  ,0,0,NA
CFF    ,202203  ,0,0,NA
CFF    ,202206  ,0,0,NA
CGF    ,202108  ,612,110,5.56
CGF    ,202109  ,264,46,5.74
CGF    ,202112  ,38,0,9999.99
CGF    ,202203  ,0,0,NA
CGF    ,202206  ,0,0,NA
CHF    ,202108  ,41308,27305,1.51
CHF    ,202109  ,3448,939,3.67
CHF    ,202112  ,1102,54,20.41
CHF    ,202203  ,524,29,18.07
CHF    ,202206  ,34,21,1.62
CJF    ,202108  ,360,53,6.79
CJF    ,202109  ,72,14,5.14
CJF    ,202112  ,2,0,9999.99
CJF    ,202203  ,0,0,NA
CJF    ,202206  ,0,0,NA
CKF    ,202108  ,6732,3482,1.93
CKF    ,202109  ,454,212,2.14
CKF    ,202112  ,1022,2,511.00
CKF    ,202203  ,256,0,9999.99
CKF    ,202206  ,0,0,NA
CLF    ,202108  ,286,23,12.43
CLF    ,202109  ,48,6,8.00
CLF    ,202112  ,6,0,9999.99
CLF    ,202203  ,0,0,NA
CLF    ,202206  ,0,0,NA
CMF    ,202108  ,358,73,4.90
CMF    ,202109  ,94,17,5.53
CMF    ,202112  ,400,1,400.00
CMF    ,202203  ,0,0,NA
CMF    ,202206  ,0,0,NA
CNF    ,202108  ,842,92,9.15
CNF    ,202109  ,76,19,4.00
CNF    ,202112  ,0,0,NA
CNF    ,202203  ,0,0,NA
CNF    ,202206  ,0,0,NA
CQF    ,202108  ,392,69,5.68
CQF    ,202109  ,18,2,9.00
CQF    ,202112  ,0,0,NA
CQF    ,202203  ,0,0,NA
CQF    ,202206  ,0,0,NA
CRF    ,202108  ,570,54,10.56
CRF    ,202109  ,12,5,2.40
CRF    ,202112  ,10,2,5.00
CRF    ,202203  ,0,0,NA
CRF    ,202206  ,0,0,NA
CSF    ,202108  ,5386,2160,2.49
