,,,公布日期時間,2021/07/26 04:36:12 PM
商品, 買賣權, 到期月份(週別), 履約價格, Delta值
CAO       ,買權,202108  ,  67.5 ,0.9922
CAO       ,買權,202108  ,  70.0 ,0.9891
CAO       ,買權,202108  ,  72.5 ,0.9836
CAO       ,買權,202108  ,  75.0 ,0.9729
CAO       ,買權,202108  ,  77.5 ,0.9381
CAO       ,買權,202108  ,  80.0 ,0.8603
CAO       ,買權,202108  ,  82.5 ,0.7396
CAO       ,買權,202108  ,  85.0 ,0.5851
CAO       ,買權,202108  ,  87.5 ,0.4199
CAO       ,買權,202108  ,  90.0 ,0.2711
CAO       ,買權,202108  ,  92.5 ,0.1550
CAO       ,買權,202108  ,  95.0 ,0.0777
CAO       ,買權,202108  ,  97.5 ,0.0327
CAO       ,買權,202108  , 100.0 ,0.0215
CAO       ,買權,202108  , 105.0 ,0.0117
CAO       ,賣權,202108  ,  67.5 ,-0.0078
CAO       ,賣權,202108  ,  70.0 ,-0.0109
CAO       ,賣權,202108  ,  72.5 ,-0.0164
CAO       ,賣權,202108  ,  75.0 ,-0.0271
CAO       ,賣權,202108  ,  77.5 ,-0.0619
CAO       ,賣權,202108  ,  80.0 ,-0.1397
CAO       ,賣權,202108  ,  82.5 ,-0.2604
CAO       ,賣權,202108  ,  85.0 ,-0.4149
CAO       ,賣權,202108  ,  87.5 ,-0.5801
CAO       ,賣權,202108  ,  90.0 ,-0.7289
CAO       ,賣權,202108  ,  92.5 ,-0.8450
CAO       ,賣權,202108  ,  95.0 ,-0.9223
CAO       ,賣權,202108  ,  97.5 ,-0.9673
CAO       ,賣權,202108  , 100.0 ,-0.9785
CAO       ,賣權,202108  , 105.0 ,-0.9883
CAO       ,買權,202109  ,  48.0 ,0.9979
CAO       ,買權,202109  ,  50.0 ,0.9977
CAO       ,買權,202109  ,  55.0 ,0.9970
CAO       ,買權,202109  ,  60.0 ,0.9958
CAO       ,買權,202109  ,  65.0 ,0.9936
CAO       ,買權,202109  ,  70.0 ,0.9883
CAO       ,買權,202109  ,  72.5 ,0.9773
CAO       ,買權,202109  ,  75.0 ,0.9441
CAO       ,買權,202109  ,  77.5 ,0.8900
CAO       ,買權,202109  ,  80.0 ,0.8078
CAO       ,買權,202109  ,  82.5 ,0.6998
CAO       ,買權,202109  ,  85.0 ,0.5748
CAO       ,買權,202109  ,  87.5 ,0.4454
CAO       ,買權,202109  ,  90.0 ,0.3247
CAO       ,買權,202109  ,  92.5 ,0.2224
CAO       ,買權,202109  ,  95.0 ,0.1423
CAO       ,買權,202109  ,  97.5 ,0.0868
CAO       ,買權,202109  , 100.0 ,0.0491
CAO       ,買權,202109  , 105.0 ,0.0127
CAO       ,買權,202109  , 110.0 ,0.0084
CAO       ,賣權,202109  ,  48.0 ,-0.0021
CAO       ,賣權,202109  ,  50.0 ,-0.0023
CAO       ,賣權,202109  ,  55.0 ,-0.0030
