,,,Date,2021/07/26 04:47:41 PM
Product, Call/Put, Contract Month (week), Strike Price, Open Interest(A), Average Volume(B), Liquidity Indicator(A/B)
CAO    ,Call,202108  ,100.0,0,0,NA
CAO    ,Call,202108  ,105.0,0,0,NA
CAO    ,Call,202108  ,67.5,0,0,NA
CAO    ,Call,202108  ,70.0,0,0,NA
CAO    ,Call,202108  ,72.5,0,0,NA
CAO    ,Call,202108  ,75.0,0,0,NA
CAO    ,Call,202108  ,77.5,0,0,NA
CAO    ,Call,202108  ,80.0,0,0,NA
CAO    ,Call,202108  ,82.5,0,0,NA
CAO    ,Call,202108  ,85.0,0,0,NA
CAO    ,Call,202108  ,87.5,0,0,NA
CAO    ,Call,202108  ,90.0,0,0,NA
CAO    ,Call,202108  ,92.5,0,0,NA
CAO    ,Call,202108  ,95.0,0,0,NA
CAO    ,Call,202108  ,97.5,0,0,NA
CAO    ,Put,202108  ,100.0,0,0,NA
CAO    ,Put,202108  ,105.0,0,0,NA
CAO    ,Put,202108  ,67.5,0,0,NA
CAO    ,Put,202108  ,70.0,0,0,NA
CAO    ,Put,202108  ,72.5,0,0,NA
CAO    ,Put,202108  ,75.0,0,0,NA
CAO    ,Put,202108  ,77.5,0,0,NA
CAO    ,Put,202108  ,80.0,0,0,NA
CAO    ,Put,202108  ,82.5,0,0,NA
CAO    ,Put,202108  ,85.0,0,0,NA
CAO    ,Put,202108  ,87.5,0,0,NA
CAO    ,Put,202108  ,90.0,0,0,NA
CAO    ,Put,202108  ,92.5,0,0,NA
CAO    ,Put,202108  ,95.0,0,0,NA
CAO    ,Put,202108  ,97.5,0,0,NA
CAO    ,Call,202109  ,100.0,0,0,NA
CAO    ,Call,202109  ,105.0,0,0,NA
CAO    ,Call,202109  ,110.0,0,0,NA
CAO    ,Call,202109  ,48.0,0,0,NA
CAO    ,Call,202109  ,50.0,0,0,NA
CAO    ,Call,202109  ,55.0,0,0,NA
CAO    ,Call,202109  ,60.0,0,0,NA
CAO    ,Call,202109  ,65.0,0,0,NA
CAO    ,Call,202109  ,70.0,0,0,NA
CAO    ,Call,202109  ,72.5,0,0,NA
CAO    ,Call,202109  ,75.0,0,0,NA
CAO    ,Call,202109  ,77.5,0,0,NA
CAO    ,Call,202109  ,80.0,0,0,NA
CAO    ,Call,202109  ,82.5,0,0,NA
CAO    ,Call,202109  ,85.0,0,0,NA
CAO    ,Call,202109  ,87.5,0,0,NA
CAO    ,Call,202109  ,90.0,0,0,NA
CAO    ,Call,202109  ,92.5,0,0,NA
CAO    ,Call,202109  ,95.0,0,0,NA
CAO    ,Call,202109  ,97.5,0,0,NA
CAO    ,Put,202109  ,100.0,0,0,NA
CAO    ,Put,202109  ,105.0,0,0,NA
CAO    ,Put,202109  ,110.0,0,0,NA
CAO    ,Put,202109  ,48.0,0,0,NA
CAO    ,Put,202109  ,50.0,0,0,NA
CAO    ,Put,202109  ,55.0,0,0,NA
CAO    ,Put,202109  ,60.0,0,0,NA
CAO    ,Put,202109  ,65.0,0,0,NA
CAO    ,Put,202109  ,70.0,0,0,NA
CAO    ,Put,202109  ,72.5,0,0,NA
CAO    ,Put,202109  ,75.0,0,0,NA
CAO    ,Put,202109  ,77.5,0,0,NA
CAO    ,Put,202109  ,80.0,0,0,NA
CAO    ,Put,202109  ,82.5,0,0,NA
CAO    ,Put,202109  ,85.0,0,0,NA
CAO    ,Put,202109  ,87.5,0,0,NA
CAO    ,Put,202109  ,90.0,0,0,NA
CAO    ,Put,202109  ,92.5,0,0,NA
CAO    ,Put,202109  ,95.0,0,0,NA
CAO    ,Put,202109  ,97.5,0,0,NA
CAO    ,Call,202112  ,100.0,0,0,NA
CAO    ,Call,202112  ,110.0,0,0,NA
CAO    ,Call,202112  ,55.0,0,0,NA
CAO    ,Call,202112  ,60.0,0,0,NA
CAO    ,Call,202112  ,65.0,0,0,NA
CAO    ,Call,202112  ,70.0,0,0,NA
CAO    ,Call,202112  ,75.0,0,0,NA
CAO    ,Call,202112  ,80.0,0,0,NA
CAO    ,Call,202112  ,85.0,0,0,NA
CAO    ,Call,202112  ,90.0,0,0,NA
CAO    ,Call,202112  ,95.0,0,0,NA
CAO    ,Put,202112  ,100.0,0,0,NA
CAO    ,Put,202112  ,110.0,0,0,NA
CAO    ,Put,202112  ,55.0,0,0,NA
CAO    ,Put,202112  ,60.0,0,0,NA
CAO    ,Put,202112  ,65.0,0,0,NA
CAO    ,Put,202112  ,70.0,0,0,NA
CAO    ,Put,202112  ,75.0,0,0,NA
CAO    ,Put,202112  ,80.0,0,0,NA
CAO    ,Put,202112  ,85.0,0,0,NA
CAO    ,Put,202112  ,90.0,0,0,NA
CAO    ,Put,202112  ,95.0,0,0,NA
CAO    ,Call,202203  ,100.0,0,0,NA
CAO    ,Call,202203  ,110.0,0,0,NA
CAO    ,Call,202203  ,65.0,0,0,NA
CAO    ,Call,202203  ,70.0,0,0,NA
CAO    ,Call,202203  ,75.0,0,0,NA
CAO    ,Call,202203  ,80.0,0,0,NA
CAO    ,Call,202203  ,85.0,0,0,NA
CAO    ,Call,202203  ,90.0,0,0,NA
CAO    ,Call,202203  ,95.0,0,0,NA
CAO    ,Put,202203  ,100.0,0,0,NA
CAO    ,Put,202203  ,110.0,0,0,NA
CAO    ,Put,202203  ,65.0,0,0,NA
CAO    ,Put,202203  ,70.0,0,0,NA
CAO    ,Put,202203  ,75.0,0,0,NA
CAO    ,Put,202203  ,80.0,0,0,NA
CAO    ,Put,202203  ,85.0,0,0,NA
CAO    ,Put,202203  ,90.0,0,0,NA
CAO    ,Put,202203  ,95.0,0,0,NA
CAO    ,Call,202206  ,100.0,0,0,NA
CAO    ,Call,202206  ,110.0,0,0,NA
CAO    ,Call,202206  ,70.0,0,0,NA
CAO    ,Call,202206  ,75.0,0,0,NA
CAO    ,Call,202206  ,80.0,0,0,NA
CAO    ,Call,202206  ,85.0,0,0,NA
CAO    ,Call,202206  ,90.0,0,0,NA
CAO    ,Call,202206  ,95.0,0,0,NA
CAO    ,Put,202206  ,100.0,0,0,NA
CAO    ,Put,202206  ,110.0,0,0,NA
CAO    ,Put,202206  ,70.0,0,0,NA
CAO    ,Put,202206  ,75.0,0,0,NA
CAO    ,Put,202206  ,80.0,0,0,NA
CAO    ,Put,202206  ,85.0,0,0,NA
CAO    ,Put,202206  ,90.0,0,0,NA
CAO    ,Put,202206  ,95.0,0,0,NA
CBO    ,Call,202108  ,29.0,0,0,NA
CBO    ,Call,202108  ,30.0,0,0,NA
CBO    ,Call,202108  ,31.0,0,0,NA
CBO    ,Call,202108  ,32.0,0,0,NA
CBO    ,Call,202108  ,33.0,0,0,NA
CBO    ,Call,202108  ,34.0,0,0,NA
CBO    ,Call,202108  ,35.0,0,0,NA
CBO    ,Call,202108  ,36.0,0,0,NA
CBO    ,Call,202108  ,37.0,0,0,NA
CBO    ,Call,202108  ,38.0,4,0,9999.99
CBO    ,Call,202108  ,39.0,6,0,9999.99
CBO    ,Call,202108  ,40.0,6,0,9999.99
CBO    ,Call,202108  ,41.0,0,0,NA
CBO    ,Call,202108  ,42.0,4,0,9999.99
CBO    ,Call,202108  ,43.0,0,0,NA
CBO    ,Call,202108  ,44.0,0,0,NA
CBO    ,Call,202108  ,45.0,0,0,NA
CBO    ,Call,202108  ,46.0,0,0,NA
CBO    ,Put,202108  ,29.0,0,0,NA
CBO    ,Put,202108  ,30.0,0,0,NA
CBO    ,Put,202108  ,31.0,0,0,NA
CBO    ,Put,202108  ,32.0,0,0,NA
CBO    ,Put,202108  ,33.0,0,0,NA
CBO    ,Put,202108  ,34.0,0,0,NA
CBO    ,Put,202108  ,35.0,0,0,NA
CBO    ,Put,202108  ,36.0,0,0,NA
CBO    ,Put,202108  ,37.0,0,0,NA
CBO    ,Put,202108  ,38.0,0,0,NA
CBO    ,Put,202108  ,39.0,0,0,NA
CBO    ,Put,202108  ,40.0,0,0,NA
CBO    ,Put,202108  ,41.0,0,0,NA
CBO    ,Put,202108  ,42.0,0,0,NA
CBO    ,Put,202108  ,43.0,0,0,NA
CBO    ,Put,202108  ,44.0,0,0,NA
CBO    ,Put,202108  ,45.0,0,0,NA
CBO    ,Put,202108  ,46.0,0,0,NA
CBO    ,Call,202109  ,17.0,0,0,NA
CBO    ,Call,202109  ,18.0,0,0,NA
CBO    ,Call,202109  ,19.0,0,0,NA
CBO    ,Call,202109  ,20.0,0,0,NA
CBO    ,Call,202109  ,21.0,0,0,NA
CBO    ,Call,202109  ,22.0,0,0,NA
CBO    ,Call,202109  ,23.0,0,0,NA
CBO    ,Call,202109  ,24.0,0,0,NA
CBO    ,Call,202109  ,25.0,0,0,NA
CBO    ,Call,202109  ,26.0,0,0,NA
CBO    ,Call,202109  ,28.0,0,0,NA
CBO    ,Call,202109  ,29.0,0,0,NA
CBO    ,Call,202109  ,30.0,0,0,NA
CBO    ,Call,202109  ,31.0,0,0,NA
CBO    ,Call,202109  ,32.0,0,0,NA
CBO    ,Call,202109  ,33.0,0,0,NA
CBO    ,Call,202109  ,34.0,0,0,NA
CBO    ,Call,202109  ,35.0,0,0,NA
CBO    ,Call,202109  ,36.0,0,0,NA
CBO    ,Call,202109  ,37.0,0,0,NA
CBO    ,Call,202109  ,38.0,0,0,NA
CBO    ,Call,202109  ,39.0,0,0,NA
CBO    ,Call,202109  ,40.0,0,0,NA
CBO    ,Call,202109  ,41.0,0,0,NA
CBO    ,Call,202109  ,42.0,0,0,NA
CBO    ,Call,202109  ,44.0,0,0,NA
CBO    ,Call,202109  ,46.0,0,0,NA
CBO    ,Call,202109  ,48.0,0,0,NA
CBO    ,Call,202109  ,50.0,0,0,NA
CBO    ,Call,202109  ,55.0,0,0,NA
CBO    ,Put,202109  ,17.0,0,0,NA
CBO    ,Put,202109  ,18.0,0,0,NA
CBO    ,Put,202109  ,19.0,0,0,NA
CBO    ,Put,202109  ,20.0,0,0,NA
CBO    ,Put,202109  ,21.0,0,0,NA
CBO    ,Put,202109  ,22.0,0,0,NA
CBO    ,Put,202109  ,23.0,0,0,NA
CBO    ,Put,202109  ,24.0,0,0,NA
CBO    ,Put,202109  ,25.0,0,0,NA
CBO    ,Put,202109  ,26.0,0,0,NA
CBO    ,Put,202109  ,28.0,0,0,NA
CBO    ,Put,202109  ,29.0,0,0,NA
CBO    ,Put,202109  ,30.0,0,0,NA
CBO    ,Put,202109  ,31.0,0,0,NA
CBO    ,Put,202109  ,32.0,0,0,NA
CBO    ,Put,202109  ,33.0,0,0,NA
CBO    ,Put,202109  ,34.0,0,0,NA
CBO    ,Put,202109  ,35.0,0,0,NA
CBO    ,Put,202109  ,36.0,0,0,NA
CBO    ,Put,202109  ,37.0,0,0,NA
